cl,cd
0.0003873534338358908,0.01771316771316768
0.035720268006700195,0.01771316771316768
0.06843592964824127,0.017940667940667912
0.09591708542713576,0.017940667940667912
0.1286327470686768,0.01828191828191826
0.15087939698492467,0.01862316862316861
0.1914468174204356,0.019191919191919163
0.21369346733668346,0.019760669760669744
0.2503350083752095,0.020670670670670646
0.2869765494137354,0.021580671580671548
0.3183835845896148,0.022718172718172697
0.347173366834171,0.023969423969423947
0.3746545226130654,0.0252206752206752
0.39951842546063665,0.026585676585676565
0.4230737018425461,0.027950677950677932
0.44532035175879414,0.029429429429429402
0.471492881072027,0.03147693147693145
0.49112227805695163,0.03284193284193282
0.5081344221105528,0.03466193466193464
0.5264551926298159,0.03648193648193647
0.5408500837520939,0.038074438074438055
0.5552449748743721,0.03978068978068976
0.5709484924623118,0.04205569205569204
0.5827261306532665,0.04398944398944396
0.5984296482412063,0.046036946036946025
0.6102072864321609,0.04797069797069796
0.6206762981574542,0.050018200018199996
0.6311453098827473,0.05240695240695239
0.646848827470687,0.055136955136955115
0.6560092127303184,0.05707070707070706
0.66516959798995,0.05934570934570933
0.6743299832495814,0.06116571116571115
0.6821817420435513,0.0633269633269633
0.6874162479061978,0.06457821457821457
0.6926507537688444,0.06628446628446627
